3,1000,Sequential     ,795630
3,1000,Executor       ,21527497
3,1000,Forks          ,13479085
3,1000,Streams        ,145673577
3,10000,Sequential     ,1311744
3,10000,Executor       ,33053718
3,10000,Forks          ,38175602
3,10000,Streams        ,645648396
3,100000,Sequential     ,11079406
3,100000,Executor       ,143382440
3,100000,Forks          ,34692507
3,100000,Streams        ,Stackoverflow
3,1000000,Sequential     ,140508359
3,1000000,Executor       ,713291987
3,1000000,Forks          ,103980627
3,1000000,Streams        ,Stackoverflow
3,10000000,Sequential     ,1538726881
3,10000000,Executor       ,18532687450
3,10000000,Forks          ,1081593810
3,10000000,Streams        ,Stackoverflow
4,1000,Sequential     ,78417
4,1000,Executor       ,1271375
4,1000,Forks          ,2739912
4,1000,Streams        ,34297538
4,10000,Sequential     ,923262
4,10000,Executor       ,8401512
4,10000,Forks          ,3695802
4,10000,Streams        ,413013280
4,100000,Sequential     ,13327661
4,100000,Executor       ,49200169
4,100000,Forks          ,8659149
4,100000,Streams        ,Stackoverflow  
4,1000000,Sequential     ,144200578
4,1000000,Executor       ,455644784
4,1000000,Forks          ,72592079
4,1000000,Streams        ,Stackoverflow  
4,10000000,Sequential     ,1632787175
4,10000000,Executor       ,9317649691
4,10000000,Forks          ,675749686
4,10000000,Streams        ,Stackoverflow  
5,1000,Sequential     ,99548
5,1000,Executor       ,1227252
5,1000,Forks          ,2524289
5,1000,Streams        ,43702842
5,10000,Sequential     ,1053921
5,10000,Executor       ,8767507
5,10000,Forks          ,2454220
5,10000,Streams        ,446724719
5,100000,Sequential     ,12868224
5,100000,Executor       ,43401166
5,100000,Forks          ,6352543
5,100000,Streams        ,Stackoverflow  
5,1000000,Sequential     ,146763193
5,1000000,Executor       ,585485784
5,1000000,Forks          ,97853627
5,1000000,Streams        ,Stackoverflow  
5,10000000,Sequential     ,1671310976
5,10000000,Executor       ,8148855249
5,10000000,Forks          ,602472454
5,10000000,Streams        ,Stackoverflow  
6,1000,Sequential     ,99009
6,1000,Executor       ,2088014
6,1000,Forks          ,1191348
6,1000,Streams        ,50011925
6,10000,Sequential     ,1266801
6,10000,Executor       ,30238037
6,10000,Forks          ,2615534
6,10000,Streams        ,361685552
6,100000,Sequential     ,11034360
6,100000,Executor       ,49488527
6,100000,Forks          ,5911773
6,100000,Streams        ,Stackoverflow  
6,1000000,Sequential     ,133146544
6,1000000,Executor       ,455181023
6,1000000,Forks          ,63202177
6,1000000,Streams        ,Stackoverflow  
6,10000000,Sequential     ,1655353642
6,10000000,Executor       ,26000769282
6,10000000,Forks          ,551624319
6,10000000,Streams        ,Stackoverflow  
7,1000,Sequential     ,99216
7,1000,Executor       ,1308810
7,1000,Forks          ,1063925
7,1000,Streams        ,44746795
7,10000,Sequential     ,1039947
7,10000,Executor       ,5283986
7,10000,Forks          ,1531413
7,10000,Streams        ,434862179
7,100000,Sequential     ,11214289
7,100000,Executor       ,50343807
7,100000,Forks          ,6676567
7,100000,Streams        ,Stackoverflow  
7,1000000,Sequential     ,135078707
7,1000000,Executor       ,1005343835
7,1000000,Forks          ,56792692
7,1000000,Streams        ,Stackoverflow  
7,10000000,Sequential     ,1797531305
7,10000000,Executor       ,20756291649
7,10000000,Forks          ,697911189
7,10000000,Streams        ,Stackoverflow  
8,1000,Sequential     ,99744
8,1000,Executor       ,1510063
8,1000,Forks          ,1237190
8,1000,Streams        ,47384280
8,10000,Sequential     ,1025813
8,10000,Executor       ,3580538
8,10000,Forks          ,2263724
8,10000,Streams        ,432272977
8,100000,Sequential     ,11148441
8,100000,Executor       ,47972982
8,100000,Forks          ,5772108
8,100000,Streams        ,Stackoverflow  
8,1000000,Sequential     ,134551519
8,1000000,Executor       ,463181445
8,1000000,Forks          ,51120346
8,1000000,Streams        ,Stackoverflow  
8,10000000,Sequential     ,1620642184
8,10000000,Executor       ,13106839994
8,10000000,Forks          ,649333480
8,10000000,Streams        ,Stackoverflow  
