pool-1-thread-1, ADD, 11687888819392, LIN_ADD, 11687888825330, RET, false, 11687888828792
pool-1-thread-1, REMOVE, 11687888835408, LIN_REM, 11687888843933, RET, true, 11687888848209
pool-1-thread-1, REMOVE, 11687888855071, LIN_REM, 11687888860612, RET, false, 11687888863532
pool-1-thread-1, REMOVE, 11687888869836, LIN_REM, 11687888880090, RET, false, 11687888883232
pool-1-thread-1, CONTAINS, 11687888890355, LIN_CON, 11687888896811, RET, false, 11687888899694
pool-1-thread-1, CONTAINS, 11687888906052, LIN_CON, 11687888912255, RET, false, 11687888915072
pool-1-thread-1, ADD, 11687888921409, LIN_ADD, 11687888927591, RET, true, 11687888930506
pool-1-thread-1, CONTAINS, 11687888936888, LIN_CON, 11687888942988, RET, true, 11687888948449
pool-1-thread-1, ADD, 11687888955012, LIN_ADD, 11687888960165, RET, false, 11687888963086
pool-1-thread-1, REMOVE, 11687888969184, LIN_REM, 11687888976805, RET, true, 11687888980759
pool-1-thread-1, ADD, 11687888987042, LIN_ADD, 11687888992368, RET, true, 11687888997929
pool-1-thread-1, CONTAINS, 11687889004828, LIN_CON, 11687889011182, RET, true, 11687889014098
pool-1-thread-1, CONTAINS, 11687889020174, LIN_CON, 11687889026424, RET, true, 11687889029182
pool-1-thread-1, ADD, 11687889036111, LIN_ADD, 11687889043779, RET, false, 11687889048206
pool-1-thread-1, REMOVE, 11687889055910, LIN_REM, 11687889064864, RET, true, 11687889068629
pool-1-thread-1, REMOVE, 11687889075333, LIN_REM, 11687889080664, RET, false, 11687889086613
pool-1-thread-1, ADD, 11687889094063, LIN_ADD, 11687889100161, RET, true, 11687889102961
pool-1-thread-1, ADD, 11687889108938, LIN_ADD, 11687889113988, RET, false, 11687889116956
pool-1-thread-1, REMOVE, 11687889123131, LIN_REM, 11687889130956, RET, true, 11687889138465
pool-1-thread-1, ADD, 11687889146566, LIN_ADD, 11687889153127, RET, true, 11687889156011
pool-1-thread-1, ADD, 11687889162236, LIN_ADD, 11687889185215, RET, false, 11687889190387
pool-1-thread-2, ADD, 11687889190878, LIN_ADD, 11687889216592, RET, false, 11687889227482
pool-1-thread-1, CONTAINS, 11687889199176, LIN_CON, 11687889207481, RET, true, 11687889214863
pool-1-thread-1, ADD, 11687889222493, LIN_ADD, 11687889229798, RET, false, 11687889233611
pool-1-thread-1, REMOVE, 11687889241136, LIN_REM, 11687889250553, RET, true, 11687889255788
pool-1-thread-2, REMOVE, 11687889262612, LIN_REM, 11687889291598, RET, true, 11687889303015
pool-1-thread-1, ADD, 11687889263782, LIN_ADD, 11687889272413, RET, true, 11687889276352
pool-1-thread-1, REMOVE, 11687889284180, LIN_REM, 11687889292336, RET, false, 11687889296274
pool-1-thread-1, REMOVE, 11687889303129, LIN_REM, 11687889310218, RET, false, 11687889314452
pool-1-thread-2, ADD, 11687889324215, LIN_ADD, 11687889340075, RET, false, 11687889348952
pool-1-thread-1, ADD, 11687889328011, LIN_ADD, 11687889338377, RET, true, 11687889342563
pool-1-thread-1, REMOVE, 11687889350686, LIN_REM, 11687889359787, RET, true, 11687889364421
pool-1-thread-1, ADD, 11687889370972, LIN_ADD, 11687889383656, RET, true, 11687889386880
pool-1-thread-1, CONTAINS, 11687889394058, LIN_CON, 11687889404279, RET, true, 11687889407240
pool-1-thread-2, ADD, 11687889408382, LIN_ADD, 11687889425802, RET, false, 11687889434638
pool-1-thread-1, CONTAINS, 11687889416005, LIN_CON, 11687889426725, RET, true, 11687889430265
pool-1-thread-1, REMOVE, 11687889437735, LIN_REM, 11687889446265, RET, true, 11687889450357
pool-1-thread-2, ADD, 11687889452069, LIN_ADD, 11687889478682, RET, false, 11687889487782
pool-1-thread-1, ADD, 11687889458505, LIN_ADD, 11687889472303, RET, true, 11687889475611
pool-1-thread-1, REMOVE, 11687889482535, LIN_REM, 11687889492747, RET, true, 11687889498802
pool-1-thread-2, CONTAINS, 11687889507412, LIN_CON, 11687889563179, RET, false, 11687889573989
pool-1-thread-1, CONTAINS, 11687889507080, LIN_CON, 11687889513254, RET, false, 11687889516158
pool-1-thread-1, CONTAINS, 11687889522271, LIN_CON, 11687889528707, RET, false, 11687889531497
pool-1-thread-1, REMOVE, 11687889537600, LIN_REM, 11687889544096, RET, false, 11687889549223
pool-1-thread-1, ADD, 11687889556920, LIN_ADD, 11687889563603, RET, true, 11687889566488
pool-1-thread-1, CONTAINS, 11687889573552, LIN_CON, 11687889580373, RET, true, 11687889584598
pool-1-thread-2, ADD, 11687889595416, LIN_ADD, 11687889610292, RET, false, 11687889618479
pool-1-thread-1, ADD, 11687889595770, LIN_ADD, 11687889605848, RET, false, 11687889610164
pool-1-thread-1, CONTAINS, 11687889617385, LIN_CON, 11687889625259, RET, true, 11687889631825
pool-1-thread-2, REMOVE, 11687889636436, LIN_REM, 11687889662416, RET, true, 11687889673945
pool-1-thread-1, ADD, 11687889640041, LIN_ADD, 11687889649375, RET, false, 11687889666116
pool-1-thread-1, CONTAINS, 11687889677351, LIN_CON, 11687889686232, RET, false, 11687889689239
pool-1-thread-2, REMOVE, 11687889692836, LIN_REM, 11687889706859, RET, false, 11687889722296
pool-1-thread-1, REMOVE, 11687889696955, LIN_REM, 11687889703473, RET, false, 11687889707029
pool-1-thread-1, REMOVE, 11687889713271, LIN_REM, 11687889719450, RET, false, 11687889722518
pool-1-thread-2, CONTAINS, 11687889772419, LIN_CON, 11687889790086, RET, false, 11687889797366
pool-1-thread-1, REMOVE, 11687889802316, LIN_REM, 11687889816054, RET, false, 11687889821476
pool-1-thread-2, CONTAINS, 11687889814266, LIN_CON, 11687889831719, RET, false, 11687889839232
