pool-1-thread-1, REMOVE, 6941498168686, LIN_REM, 6941576329100, RET, false, 6941588700068
pool-1-thread-2, CONTAINS, 6941498519649, LIN_CON, 6941596231995, RET, false, 6941596258045
pool-1-thread-3, CONTAINS, 6941498814094, LIN_CON, 6941599651910, RET, true, 6941599678490
pool-1-thread-4, REMOVE, 6941499070920, LIN_REM, 6941599727545, RET, true, 6941599762786
pool-1-thread-5, CONTAINS, 6941499688436, LIN_CON, 6941596134244, RET, false, 6941596174079
pool-1-thread-6, ADD, 6941500984021, LIN_ADD, 6941596310260, RET, true, 6941596357848
pool-1-thread-7, CONTAINS, 6941501616579, LIN_CON, 6941596003583, RET, false, 6941596045392
pool-1-thread-8, ADD, 6941507638497, LIN_ADD, 6941588742201, RET, true, 6941589333208
pool-1-thread-1, REMOVE, 6941589255954, LIN_REM, 6941599833544, RET, true, 6941599865032
pool-1-thread-8, REMOVE, 6941589839344, LIN_REM, 6941589940447, RET, true, 6941590347127
pool-1-thread-8, ADD, 6941590915233, LIN_ADD, 6941590938608, RET, true, 6941590945886
pool-1-thread-8, CONTAINS, 6941590959683, LIN_CON, 6941590971948, RET, true, 6941591348163
pool-1-thread-8, ADD, 6941591652154, LIN_ADD, 6941591670263, RET, false, 6941592049928
pool-1-thread-8, REMOVE, 6941592348835, LIN_REM, 6941592369218, RET, true, 6941592381892
pool-1-thread-8, CONTAINS, 6941592394980, LIN_CON, 6941592406610, RET, false, 6941592789263
pool-1-thread-8, ADD, 6941593101159, LIN_ADD, 6941593125985, RET, true, 6941593132845
pool-1-thread-8, ADD, 6941593145728, LIN_ADD, 6941593159199, RET, false, 6941593164985
pool-1-thread-8, CONTAINS, 6941593176294, LIN_CON, 6941593187577, RET, true, 6941593192943
pool-1-thread-8, CONTAINS, 6941593203884, LIN_CON, 6941593214199, RET, true, 6941593219327
pool-1-thread-8, CONTAINS, 6941593230020, LIN_CON, 6941593240242, RET, true, 6941593245389
pool-1-thread-8, ADD, 6941593260879, LIN_ADD, 6941593273789, RET, false, 6941593279265
pool-1-thread-8, ADD, 6941593290251, LIN_ADD, 6941593306518, RET, false, 6941593312531
pool-1-thread-8, REMOVE, 6941593323706, LIN_REM, 6941593344882, RET, true, 6941593361441
pool-1-thread-8, ADD, 6941593373783, LIN_ADD, 6941593390481, RET, true, 6941593396262
pool-1-thread-8, CONTAINS, 6941593407620, LIN_CON, 6941593418728, RET, true, 6941593424090
pool-1-thread-8, REMOVE, 6941593434924, LIN_REM, 6941593453820, RET, true, 6941593466782
pool-1-thread-8, REMOVE, 6941593479982, LIN_REM, 6941593492662, RET, false, 6941593498241
pool-1-thread-8, CONTAINS, 6941593511867, LIN_CON, 6941593523031, RET, false, 6941593528339
pool-1-thread-8, ADD, 6941593539284, LIN_ADD, 6941593558828, RET, true, 6941593564491
pool-1-thread-8, ADD, 6941593575678, LIN_ADD, 6941593588184, RET, false, 6941593593427
pool-1-thread-8, REMOVE, 6941593604133, LIN_REM, 6941593625139, RET, true, 6941593642495
pool-1-thread-8, CONTAINS, 6941593654846, LIN_CON, 6941593666038, RET, false, 6941593671278
pool-1-thread-8, ADD, 6941593682361, LIN_ADD, 6941593700720, RET, true, 6941593706255
pool-1-thread-8, ADD, 6941593717409, LIN_ADD, 6941593732061, RET, false, 6941593737374
pool-1-thread-8, CONTAINS, 6941593748620, LIN_CON, 6941593764024, RET, true, 6941593769206
pool-1-thread-8, ADD, 6941593779880, LIN_ADD, 6941593792423, RET, false, 6941593798440
pool-1-thread-8, CONTAINS, 6941593809418, LIN_CON, 6941593819851, RET, true, 6941593825048
pool-1-thread-8, CONTAINS, 6941593837294, LIN_CON, 6941593847947, RET, true, 6941593853000
pool-1-thread-8, CONTAINS, 6941593863706, LIN_CON, 6941593873781, RET, true, 6941593878726
pool-1-thread-8, REMOVE, 6941593889377, LIN_REM, 6941593909883, RET, true, 6941593925424
pool-1-thread-8, CONTAINS, 6941593937403, LIN_CON, 6941593948242, RET, false, 6941593955008
pool-1-thread-8, CONTAINS, 6941593966346, LIN_CON, 6941593976608, RET, false, 6941593981826
pool-1-thread-8, REMOVE, 6941593992569, LIN_REM, 6941594004606, RET, false, 6941594010963
pool-1-thread-8, REMOVE, 6941594021978, LIN_REM, 6941594033415, RET, false, 6941594038485
pool-1-thread-8, CONTAINS, 6941594049818, LIN_CON, 6941594061266, RET, false, 6941594066563
pool-1-thread-8, REMOVE, 6941594077417, LIN_REM, 6941594088845, RET, false, 6941594094051
pool-1-thread-8, CONTAINS, 6941594104642, LIN_CON, 6941594114919, RET, false, 6941594119968
pool-1-thread-8, ADD, 6941594131381, LIN_ADD, 6941594152386, RET, true, 6941594161464
pool-1-thread-8, ADD, 6941594173163, LIN_ADD, 6941594193648, RET, false, 6941594200310
pool-1-thread-8, CONTAINS, 6941594212341, LIN_CON, 6941594246611, RET, true, 6941594257700
pool-1-thread-8, CONTAINS, 6941594282722, LIN_CON, 6941594302292, RET, true, 6941594311129
pool-1-thread-8, ADD, 6941594330682, LIN_ADD, 6941594351005, RET, false, 6941594360306
pool-1-thread-8, REMOVE, 6941594387063, LIN_REM, 6941594415924, RET, true, 6941594433487
pool-1-thread-8, CONTAINS, 6941594447297, LIN_CON, 6941594458522, RET, false, 6941594463773
pool-1-thread-8, CONTAINS, 6941594474801, LIN_CON, 6941594486950, RET, false, 6941594492148
pool-1-thread-8, CONTAINS, 6941594503025, LIN_CON, 6941594512967, RET, false, 6941594517831
pool-1-thread-8, CONTAINS, 6941594528295, LIN_CON, 6941594538184, RET, false, 6941594543222
pool-1-thread-8, ADD, 6941594554225, LIN_ADD, 6941594567161, RET, true, 6941594572852
pool-1-thread-8, REMOVE, 6941594583721, LIN_REM, 6941594595210, RET, true, 6941594602213
pool-1-thread-8, ADD, 6941594615627, LIN_ADD, 6941594630215, RET, true, 6941594635504
pool-1-thread-8, CONTAINS, 6941594646087, LIN_CON, 6941594656492, RET, true, 6941594661539
pool-1-thread-8, CONTAINS, 6941594672003, LIN_CON, 6941594681751, RET, true, 6941594688908
pool-1-thread-8, REMOVE, 6941594711473, LIN_REM, 6941594731404, RET, true, 6941594740778
pool-1-thread-8, CONTAINS, 6941594752391, LIN_CON, 6941594762901, RET, false, 6941594768110
pool-1-thread-8, REMOVE, 6941594778775, LIN_REM, 6941594788720, RET, false, 6941594793819
pool-1-thread-8, REMOVE, 6941594804640, LIN_REM, 6941594813286, RET, false, 6941594818107
pool-1-thread-8, REMOVE, 6941594828213, LIN_REM, 6941594836809, RET, false, 6941594841729
pool-1-thread-8, REMOVE, 6941594851812, LIN_REM, 6941594860191, RET, false, 6941594865981
pool-1-thread-8, REMOVE, 6941594876453, LIN_REM, 6941594885129, RET, false, 6941594890939
pool-1-thread-8, ADD, 6941594902068, LIN_ADD, 6941594914492, RET, true, 6941594919984
pool-1-thread-8, CONTAINS, 6941594931019, LIN_CON, 6941594943339, RET, true, 6941594948661
pool-1-thread-8, REMOVE, 6941594960307, LIN_REM, 6941594976166, RET, true, 6941594989935
pool-1-thread-8, REMOVE, 6941595016899, LIN_REM, 6941595034927, RET, false, 6941595044081
pool-1-thread-8, REMOVE, 6941595063461, LIN_REM, 6941595082833, RET, false, 6941596167965
pool-1-thread-7, REMOVE, 6941596124178, LIN_REM, 6941599877835, RET, false, 6941599888780
pool-1-thread-8, ADD, 6941596194792, LIN_ADD, 6941600026307, RET, true, 6941600042022
pool-1-thread-5, CONTAINS, 6941596215804, LIN_CON, 6941600062640, RET, true, 6941600082968
pool-1-thread-2, REMOVE, 6941596285531, LIN_REM, 6941600129426, RET, true, 6941600152918
pool-1-thread-6, CONTAINS, 6941596387110, LIN_CON, 6941596409912, RET, true, 6941596419618
pool-1-thread-6, REMOVE, 6941596449341, LIN_REM, 6941596484699, RET, true, 6941596492978
pool-1-thread-6, CONTAINS, 6941596505512, LIN_CON, 6941596516309, RET, false, 6941596521318
pool-1-thread-6, CONTAINS, 6941596537292, LIN_CON, 6941596547224, RET, false, 6941596551912
pool-1-thread-6, ADD, 6941596562719, LIN_ADD, 6941596575735, RET, true, 6941596581009
pool-1-thread-6, ADD, 6941596591249, LIN_ADD, 6941596600344, RET, false, 6941596605424
pool-1-thread-6, REMOVE, 6941596615632, LIN_REM, 6941596626952, RET, true, 6941596633265
pool-1-thread-6, CONTAINS, 6941596643528, LIN_CON, 6941596653285, RET, false, 6941596658022
pool-1-thread-6, ADD, 6941596667733, LIN_ADD, 6941596679261, RET, true, 6941596684084
pool-1-thread-6, ADD, 6941596695302, LIN_ADD, 6941596705114, RET, false, 6941596709905
pool-1-thread-6, ADD, 6941596723848, LIN_ADD, 6941596733473, RET, false, 6941596738365
