577735375870625, pool-1-thread-8, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735375667334, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735375720959, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377208917, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735377183542, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735377154459, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735377099209, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735377073500, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735377053792, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735377023667, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735377231875, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735377384417, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735377258042, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377307792, pool-1-thread-3, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377405667, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735377834417, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735377424834, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378028667, pool-1-thread-1, [CONTAINS] FAILED, 8 does not exist in the list.
577735377869875, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377280250, pool-1-thread-8, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377361875, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378384917, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735377986834, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378432792, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735378133792, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735377919750, pool-1-thread-2, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377333292, pool-1-thread-7, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377901625, pool-1-thread-3, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735378087542, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735378567875, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735378551875, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735378614209, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735378636667, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378551959, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735378676542, pool-1-thread-2, [REMOVE] FAILED, 8 does not exist in the list.
577735378699209, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735378718459, pool-1-thread-2, [REMOVE] FAILED, 8 does not exist in the list.
577735378739792, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735378762709, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378784500, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735378804709, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378504084, pool-1-thread-8, [ADD] SUCCEEDED, 8 added to the list.
577735378860209, pool-1-thread-8, [REMOVE] FAILED, 8 does not exist in the list.
577735378478417, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378907042, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735378928334, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735378455500, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735378968834, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735378991917, pool-1-thread-4, [CONTAINS] FAILED, 8 does not exist in the list.
577735379029625, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735378391875, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735379073542, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735379095834, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735379117000, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379137875, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735379156875, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379178000, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735379196000, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735379216250, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379237875, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735379258834, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379281459, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735379300167, pool-1-thread-6, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735379318667, pool-1-thread-6, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735379336417, pool-1-thread-6, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735379050167, pool-1-thread-4, [CONTAINS] FAILED, 8 does not exist in the list.
577735379376459, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378949000, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379422417, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735379441209, pool-1-thread-5, [REMOVE] FAILED, 8 does not exist in the list.
577735379461000, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735379478834, pool-1-thread-5, [ADD] FAILED, 8 exists in the list.
577735379497625, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379520417, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735379540792, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735379561750, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379582167, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735379599875, pool-1-thread-5, [REMOVE] FAILED, 8 does not exist in the list.
577735378887542, pool-1-thread-8, [REMOVE] FAILED, 8 does not exist in the list.
577735379667000, pool-1-thread-8, [ADD] SUCCEEDED, 8 added to the list.
577735378827084, pool-1-thread-2, [REMOVE] FAILED, 8 does not exist in the list.
577735379709584, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735379728334, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735378659417, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735378598584, pool-1-thread-3, [ADD] SUCCEEDED, 8 added to the list.
577735378583834, pool-1-thread-1, [REMOVE] FAILED, 8 does not exist in the list.
577735379764125, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735379849834, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735379746917, pool-1-thread-2, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735379691209, pool-1-thread-8, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379617125, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735379398500, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735379352875, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735380270709, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735380196625, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735380115084, pool-1-thread-8, [REMOVE] FAILED, 8 does not exist in the list.
577735380083167, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735379970875, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735379887459, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
