nodes, ns-time, normal, ms-time
2,  11243725301, 0, 11243
12,  9406105781, 0, 9406
30,  8912602638, 0, 8912
46,  7644545923, 0, 7644
2,  11974108845, 1, 11974
12,  7695520528, 1, 7695
30,  12319247328, 1, 12319
46,  10606415250, 1, 10606
